x,y
10.1788,10.0462
10.6435,10.2158
11.1037,10.3821
11.5715,10.5488
12.0329,10.7149
12.4946,10.8808
12.9608,11.0494
13.4271,11.2118
13.8936,11.3796
14.3614,11.5454
14.8268,11.7232
15.2921,11.8939
15.7571,12.0679
16.2141,12.2381
16.6629,12.4076
