x,y
10.1788,10.0462
10.6437,10.2159
11.1029,10.3836
11.5739,10.5548
12.031,10.7268
12.4932,10.8997
12.9642,11.0784
13.4297,11.2399
13.8959,11.4202
14.3647,11.586
14.8262,11.7807
15.2915,11.9394
15.7564,12.1178
16.2035,12.2821
16.6453,12.4514
